help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Kędzierzyn_opolskie;Kędzierzyn;opolskie;urząd stanu cywilnego;;1874-1944;45/899/0;6532;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45390#;50.3448836;18.2089594;Opolskie;1;6532;2
Kędzierzyn-Koźle_opolskie;Kędzierzyn-Koźle;opolskie;urząd stanu cywilnego;;;kein Bestand;0;0;50.3448836;18.2099594;Opolskie;1;-1;1
Kępnica_opolskie;Kępnica;opolskie;urząd stanu cywilnego;;1938-1940, 1942-1943;45/3999/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/167392#;50.4168639;17.3916039;Opolskie;1;0;1
Kęsowo_bydgoskie;Kęsowo;bydgoskie;urząd stanu cywilnego;;1874-1935;6/1717/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/146422#;53.5579001;17.7136089;Kujawsko-Pomorskie;1;0;1
Kęsowo_bydgoskie;Kęsowo;bydgoskie;urząd stanu cywilnego;;1936-1954;6/3240/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/147998#;53.5579001;17.7126089;Kujawsko-Pomorskie;1;0;2
Kielcza_opolskie;Kielcza;opolskie;urząd stanu cywilnego;;1874-1941 [1994];45/1075/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45565#;50.5667543;18.5417898;Opolskie;1;0;1
Kielcza_opolskie;Kielcza;opolskie;urząd stanu cywilnego;;1946-1959;45/3707/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/157676#;50.5667543;18.5407898;Pomorskie;0;0;2
Kiełczyn_wałbrzyskie;Kiełczyn;wałbrzyskie;urząd stanu cywilnego;;1874-1938;82/1588/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90195#;50.8104376;16.6420091;Warmińsko-Mazurskie;0;0;1
Kiełpin_bydgoskie;Kiełpin;bydgoskie;urząd stanu cywilnego;;1874-1935, 1950-2019;6/1719/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/146424#;53.6236233;17.8796591;Kujawsko-Pomorskie;1;0;1
Kiełpin_pilskie;Kiełpin;pilskie;urząd stanu cywilnego;;1874 - 1925;55/626/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/23770#;53.4968964;17.0555488;Wielkopolskie, Zachodniopomorskie;1;0;1
Kierpień_opolskie;Kierpień;opolskie;urząd stanu cywilnego;;1955-1959;45/3682/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/120308#;50.3921071;17.8551712;Opolskie;1;0;1
Kierpień_opolskie;Kierpień;opolskie;urząd stanu cywilnego;;1938-1942;45/3805/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/160747#;50.3921071;17.8541712;Opolskie;1;0;2
Kierzków_gorzowskie;Kierzków;gorzowskie;urząd stanu cywilnego;;1874-1938;66/451/0;1796;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35899#;52.99063;14.77518;Lubuskie, Zachodniopomorskie;1;1796;1
