help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Biedrzychowice_opolskie;Biedrzychowice;opolskie;urząd stanu cywilnego;;1946-1959;45/3679/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/120305#;50.3371745;17.9406712;Opolskie;1
Biedrzychowice_zielonogórskie;Biedrzychowice;zielonogórskie;urząd stanu cywilnego;;1874-1938;89/233/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63319#;51.7403791;15.1358241;Lubuskie,  Dolnośląskie;1
Bielawa_wałbrzyskie;Bielawa;wałbrzyskie;urząd stanu cywilnego;;1874-1945 [1946];82/1603/0;32691;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90210#;50.6841718;16.6118259;Dolnośląskie;1
Bielawy_toruńskie;Bielawy;toruńskie;urząd stanu cywilnego;;1936-1939;69/1921/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/143557#;52.5668309;18.8703281;Kujawsko-Pomorskie;1
Bielawy_zielonogórskie;Bielawy;zielonogórskie;urząd stanu cywilnego;;1874-1938;89/209/0;3543;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63295#;51.7727778;15.91988;Lubuskie,  Dolnośląskie;1
Bielczyny_toruńskie;Bielczyny;toruńskie;urząd stanu cywilnego;;1874-1921;69/1104/0;5720;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103358#;53.2108295;18.5744824;Kujawsko-Pomorskie;1
Bielice_opolskie;Bielice;opolskie;urząd stanu cywilnego;;1874-1920, 1931-1944;45/832/0;3272;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45324#;50.5570251;17.4943496;Opolskie;1
Bielice_opolskie;Bielice;opolskie;urząd stanu cywilnego;;1874-1938;45/930/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45421#;50.5570251;17.4943496;Opolskie;1
Bielikowo_szczecińskie;Bielikowo;szczecińskie;urząd stanu cywilnego;;;kein Bestand;0;0;53.9905;15.31467;Zachodniopomorskie,  Lubuskie;1
Bieniów_zielonogórskie;Bieniów;zielonogórskie;urząd stanu cywilnego;;1876-1932;89/210/0;2785;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63296#;51.7186585;15.1773648;Dolnośląskie;1
Bieniowice_legnickie;Bieniowice;legnickie;urząd stanu cywilnego;;1874 - 1945;85/545/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/87637#;51.2585028;16.2557984;Lubuskie,  Dolnośląskie;1
Bierawa_opolskie;Bierawa;opolskie;urząd stanu cywilnego;;1945-1973;45/3618/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/80931#;50.2810555;18.2424545;Opolskie;1
Bierawa_opolskie;Bierawa;opolskie;urząd stanu cywilnego;;1874-1941, 1944 [1959,1966-2019];45/890/0;4529;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45381#;50.2810555;18.2424545;Opolskie;1
Bierdzany_opolskie;Bierdzany;opolskie;urząd stanu cywilnego;;1874-1940;45/988/0;4506;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45479#;50.816391;18.156362;Opolskie;1
Biernacice_wałbrzyskie;Biernacice;wałbrzyskie;urząd stanu cywilnego;;1874-1940;82/1511/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/90118#;50.5684349;17.0129622;Dolnośląskie;1
Bierzgłowo_toruńskie;Bierzgłowo;toruńskie;urząd stanu cywilnego;;1874-1935;69/1105/0;9949;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/103359#;53.1313;18.45055;Kujawsko-Pomorskie;1
Biestrzykowice_opolskie;Biestrzykowice;opolskie;urząd stanu cywilnego;;;kein Bestand;0;0;50.9899667;17.7548708;Opolskie;1
Bieszków_zielonogórskie;Bieszków;zielonogórskie;urząd stanu cywilnego;;1874-1937;89/212/0;1248;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63298#;51.7400837;15.0742986;Lubuskie,  Dolnośląskie;1
Biezdrowo_pilskie;Biezdrowo;pilskie;urząd stanu cywilnego;;1874 - 1935;55/613/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/23768#;52.6881691;16.3063663;Wielkopolskie, Zachodniopomorskie;1
