Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans_org;link;lat;lon;Woiwod2026;Relevanz Ditt;scans;Mehrfach
Domasław_wrocławskie;Domasław;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.0106924;16.9552049;Dolnośląskie;1;0;1
Dorowo_szczecińskie;Dorowo;szczecińskie;ewangelicko-augsburskie;;[1663] 1879-1945;65/1167/0;5359;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69557#;53.7208863;15.4569332;Zachodniopomorskie,  Lubuskie;1;5359;1
Drawiny_gorzowskie;Drawiny;gorzowskie;ewangelicko-augsburskie;;[1648-1879] 1879-1945;66/81/0;7306;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35498#;52.8952974;15.9604906;Lubuskie, Zachodniopomorskie;1;7306;1
Drezdenko_gorzowskie;Drezdenko;gorzowskie;ewangelicko-augsburskie;;[1648-1879] 1879-1945;66/81/0;7306;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35498#;52.8393492;15.8296725;Lubuskie, Zachodniopomorskie;1;7306;1
Drzonowo Wałeckie_pilskie;Drzonowo Wałeckie;pilskie;ewangelicko-augsburskie;;[1721-1878] 1879-1945;26/112/0;1606;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/77658#;53.0614713;16.1867941;Wielkopolskie, Zachodniopomorskie;1;1606;1
Duszniki_poznańskie;Duszniki;poznańskie;ewangelickie;;1859 - 1926;53/3782/0;331;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/19313#;52.4488442;16.4044502;Wielkopolskie;1;331;1
Działoszyn_jeleniogórskie;Działoszyn;jeleniogórskie;ewangelicko-augsburskie;;1396-1944;82/42/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88333#;50.9784791;14.9493737;Dolnośląskie;1;0;1
Dzieduszyce_gorzowskie;Dzieduszyce;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.723571;14.9698446;Lubuskie, Zachodniopomorskie;1;68637;1
Dziersławice_gorzowskie;Dziersławice;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.6436889;15.2495555;Lubuskie, Zachodniopomorskie;1;68637;1
Dzierżążno Wielkie_pilskie;Dzierżążno Wielkie;pilskie;ewangelickie;;1815 - 1874;53/3266/0;5380;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18759#;52.9878098;16.2055425;Wielkopolskie, Zachodniopomorskie;1;5380;1
Dzierżoniów_wałbrzyskie;Dzierżoniów;wałbrzyskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;50.7279896;16.6504455;Dolnośląskie;1;0;1
Dzierżów_gorzowskie;Dzierżów;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.6605202;15.2046894;Lubuskie, Zachodniopomorskie;1;68637;1
Dziwiszów_jeleniogórskie;Dziwiszów;jeleniogórskie;ewangelicko-augsburskie;;[1725 - 1879] 1879 - 1944;83/90/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86257#;50.93984;15.79275;Dolnośląskie;1;0;1
Dzwonowo_pilskie;Dzwonowo;pilskie;ewangelicko-augsburskie;;[1721-1878] 1879-1945;26/112/0;1606;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/77658#;52.5923;17.13767;Wielkopolskie, Zachodniopomorskie;1;1606;1
Fordon_bydgoskie;Fordon;bydgoskie;ewangelicko-augsburskie;;1822-1874;6/396/0;1165;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/147822#;53.1534831;18.125392;Kujawsko-Pomorskie;1;1165;1
Gądkowice_wrocławskie;Gądkowice;wrocławskie;ewangelickie;;1569-1948;82/130/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/88415#;51.5690363;17.4626153;Dolnośląskie;1;0;1
Gardno_szczecińskie;Gardno;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.2601039;14.6177339;Zachodniopomorskie,  Lubuskie;1;9759;1
Gardzin_szczecińskie;Gardzin;szczecińskie;ewangelicko-augsburskie;;[1663] 1879-1945;65/1167/0;5359;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69557#;53.7859039;15.4877822;Zachodniopomorskie,  Lubuskie;1;5359;1
Garnowo_szczecińskie;Garnowo;szczecińskie;ewangelicko-augsburskie;;1581-1947;65/44/0;114460;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68037#;53.00911;14.39046;Zachodniopomorskie,  Lubuskie;1;114460;1
Gębice_pilskie;Gębice;pilskie;ewangelickie;;1815 - 1874;53/3266/0;5380;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18759#;52.90489;16.68775;Wielkopolskie, Zachodniopomorskie;1;5380;1
Gierałcice_opolskie;Gierałcice;opolskie;ewangelicko-augsburskie;;1801-1869;45/3403/0;791;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47906#;50.3378136;17.319589;Opolskie;1;791;1
Gierszowice_opolskie;Gierszowice;opolskie;ewangelicko-augsburskie;;1794-1873;45/3595/0;175;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/76127#;50.8113397;17.498858;Opolskie;1;175;1
Gildnica_szczecińskie;Gildnica;szczecińskie;ewangelicko-augsburskie;;[1663] 1879-1945;65/1167/0;5359;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69557#;53.67162;15.33312;Zachodniopomorskie,  Lubuskie;1;5359;1
Ginawa_szczecińskie;Ginawa;szczecińskie;ewangelicko-augsburskie;;[1638-1878] 1879-1945;65/781/0;9759;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/69208#;53.501043;15.666316;Zachodniopomorskie,  Lubuskie;1;9759;1
Giżyn_leszczyńskie;Giżyn;leszczyńskie;ewangelicko-augsburskie;;1839-1876;89/1249/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/64424#;51.67;16.65625;Wielkopolskie, Dolnośląskie;1;0;1
Giżyn_gorzowskie;Giżyn;gorzowskie;ewangelicko-augsburskie;;[1722-1878] 1879-1945;65/131/0;533;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/68119#;53.2354219;14.8392283;Lubuskie, Zachodniopomorskie;1;533;1
Glinik_gorzowskie;Glinik;gorzowskie;ewangelicko-augsburskie;;[1666] 1879-1945;66/28/0;68637;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35445#;52.6500926;15.3104474;Lubuskie, Zachodniopomorskie;1;68637;1
Glisno_gorzowskie;Glisno;gorzowskie;ewangelicko-augsburskie;;1802-1836;66/88/0;179;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/35509#;52.47638;15.24038;Lubuskie, Zachodniopomorskie;1;179;1
Glisno_gorzowskie;Glisno;gorzowskie;ewangelicko-augsburskie;;1671-1945;89/95/0;1901;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63140#;52.47638;15.23938;Lubuskie, Zachodniopomorskie;1;1901;2
Głogów_legnickie;Głogów;legnickie;ewangelicko-augsburskie;;1823-1831;89/322/0;193;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/63408#;51.6632169;16.0850805;Dolnośląskie;1;193;1
