Help;Name;voivod 98;type;patronizium;laufzeit;signatur;scans;link;lat;lon;Woiwod2026;Relevanz Ditt
Jarnołtówek_opolskie;Jarnołtówek;opolskie;rzymskokatolickie;;1810-1848;45/3253/0;382;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47709#;50.2845253;17.4260301;Opolskie;1
Jarnołtówek_opolskie;Jarnołtówek;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.2845253;17.4260301;Opolskie;1
Jarząbkowo_poznańskie;Jarząbkowo;poznańskie;rzymskokatolickie;;1819 - 1874;53/3324/0;813;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/18841#;52.4068422;17.6196006;Wielkopolskie;1
Jasienica Dolna_opolskie;Jasienica Dolna;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.5170769;17.4996417;Opolskie;1
Jasienica Górna_opolskie;Jasienica Górna;opolskie;rzymskokatolickie;;1836-1850;45/3331/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/47834#;50.398616;17.1292766;Opolskie;1
Jasiona_opolskie;Jasiona;opolskie;rzymskokatolickie;;;kein Bestand;0;0;50.7661348;17.537053;Opolskie;1
Jastrowiec_jeleniogórskie;Jastrowiec;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;50.9676938;16.0546228;Dolnośląskie;1
Jaszkotle_wrocławskie;Jaszkotle;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;51.0568148;16.901773;Dolnośląskie;1
Jaszkowa Górna_wałbrzyskie;Jaszkowa Górna;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.40678;16.74029;Dolnośląskie;1
Jaszów_opolskie;Jaszów;opolskie;rzymskokatolickie;śś. Piotra i Pawła;1661-1944;45/1236/0;21283;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/45691#;50.5927178;17.2444528;Opolskie;1
Jawor_legnickie;Jawor;legnickie;rzymskokatolickie;;;kein Bestand;0;0;51.0504653;16.1932008;Dolnośląskie;1
Jawornica_wałbrzyskie;Jawornica;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.393581;16.3302884;Dolnośląskie;1
Jaworów_wrocławskie;Jaworów;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;50.8003684;17.3070941;Dolnośląskie;1
Jaźwina_wrocławskie;Jaźwina;wrocławskie;rzymskokatolickie;;;kein Bestand;0;0;50.7972169;16.699216;Dolnośląskie;1
Jedlinka_wałbrzyskie;Jedlinka;wałbrzyskie;rzymskokatolickie;;;kein Bestand;0;0;50.7141667;16.3622222;Dolnośląskie;1
Jelenia Góra_jeleniogórskie;Jelenia Góra;jeleniogórskie;rzymskokatolickie;św. Erazma i Pankracego;[1725 - 1879] 1879 - 1944;83/90/0;0;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/86257#;50.9031028;15.7344306;Dolnośląskie;1
Jelenia Góra_jeleniogórskie;Jelenia Góra;jeleniogórskie;rzymskokatolickie;;;kein Bestand;0;0;50.9031028;15.7344306;Dolnośląskie;1
Jeleńcz_bydgoskie;Jeleńcz;bydgoskie;rzymskokatolickie;;1823-1849;6/270/0;228;https://www.szukajwarchiwach.gov.pl/de/zespol/-/zespol/144722#;53.5594448;17.7442772;Kujawsko-Pomorskie;1
